Coluna1;year;env;location;rep;plot;gen;check;yield;plant;harvest;lat;lon;elev;row_id
112;2017;S17_2DAR2;ChitedzeDAR;1;4;TIKOLORE;Yes;1479.62;12/18/2017;05/09/2018;-13.983333;33.633333;1097;112
113;2017;S17_2DAR2;ChitedzeDAR;1;5;TGx201419FM;No;1743.16;12/18/2017;05/09/2018;-13.983333;33.633333;1097;113
114;2017;S17_2DAR2;ChitedzeDAR;1;6;TGx200110DM;No;2349.15;12/18/2017;05/09/2018;-13.983333;33.633333;1097;114
115;2017;S17_2DAR2;ChitedzeDAR;1;7;TGx200223DM;No;718.91;12/18/2017;05/09/2018;-13.983333;33.633333;1097;115
116;2017;S17_2DAR2;ChitedzeDAR;1;8;TGx198762F;No;2242.48;12/18/2017;05/09/2018;-13.983333;33.633333;1097;116
117;2017;S17_2DAR2;ChitedzeDAR;1;9;Lukanga;No;1889.34;12/18/2017;05/09/2018;-13.983333;33.633333;1097;117
118;2017;S17_2DAR2;ChitedzeDAR;1;10;TGx20145GM;No;2158.66;12/18/2017;05/09/2018;-13.983333;33.633333;1097;118
119;2017;S17_2DAR2;ChitedzeDAR;1;11;MAKSOY1N;No;1567.23;12/18/2017;05/09/2018;-13.983333;33.633333;1097;119
120;2017;S17_2DAR2;ChitedzeDAR;1;12;MAKSOY3N;No;1083.39;12/18/2017;05/09/2018;-13.983333;33.633333;1097;120
121;2017;S17_2DAR2;ChitedzeDAR;1;13;TGx200214DM;No;1695.5;12/18/2017;05/09/2018;-13.983333;33.633333;1097;121
122;2017;S17_2DAR2;ChitedzeDAR;1;14;Jenguma;No;554.23;12/18/2017;05/09/2018;-13.983333;33.633333;1097;122
123;2017;S17_2DAR2;ChitedzeDAR;1;15;MAKSOY5N;No;2067.96;12/18/2017;05/09/2018;-13.983333;33.633333;1097;123
124;2017;S17_2DAR2;ChitedzeDAR;1;16;TGx20013FM;No;1818.18;12/18/2017;05/09/2018;-13.983333;33.633333;1097;124
125;2017;S17_2DAR2;ChitedzeDAR;1;17;DARS_CHITEDZE4;No;1520.69;12/18/2017;05/09/2018;-13.983333;33.633333;1097;125
126;2017;S17_2DAR2;ChitedzeDAR;1;18;TGx20018DM;No;1616.51;12/18/2017;05/09/2018;-13.983333;33.633333;1097;126
127;2017;S17_2DAR2;ChitedzeDAR;1;19;MAKSOY4N;No;1870.57;12/18/2017;05/09/2018;-13.983333;33.633333;1097;127
128;2017;S17_2DAR2;ChitedzeDAR;1;20;TGx198818F;No;1794.11;12/18/2017;05/09/2018;-13.983333;33.633333;1097;128
129;2017;S17_2DAR2;ChitedzeDAR;1;21;Songda;No;417.7;12/18/2017;05/09/2018;-13.983333;33.633333;1097;129
130;2017;S17_2DAR2;ChitedzeDAR;1;22;MRIDINA;No;2550.51;12/18/2017;05/09/2018;-13.983333;33.633333;1097;130
132;2017;S17_2DAR2;ChitedzeDAR;1;24;S1075693;No;2978.56;12/18/2017;05/09/2018;-13.983333;33.633333;1097;132
134;2017;S17_2DAR2;ChitedzeDAR;1;26;Afayak;No;875.74;12/18/2017;05/09/2018;-13.983333;33.633333;1097;134
135;2017;S17_2DAR2;ChitedzeDAR;1;27;Quarshie;No;1933.93;12/18/2017;05/09/2018;-13.983333;33.633333;1097;135
136;2017;S17_2DAR2;ChitedzeDAR;1;28;NASOKO;Yes;1455.67;12/18/2017;05/09/2018;-13.983333;33.633333;1097;136
138;2017;S17_2DAR2;ChitedzeDAR;1;30;TGx198960F;No;2013.71;12/18/2017;05/09/2018;-13.983333;33.633333;1097;138
139;2017;S17_2DAR2;ChitedzeDAR;1;31;SCSERENADE;No;1987.55;12/18/2017;05/09/2018;-13.983333;33.633333;1097;139
140;2017;S17_2DAR2;ChitedzeDAR;1;32;Kaleya;No;1773.77;12/18/2017;05/09/2018;-13.983333;33.633333;1097;140
141;2017;S17_2DAR2;ChitedzeDAR;1;33;TGx200124DM;No;1688.5;12/18/2017;05/09/2018;-13.983333;33.633333;1097;141
142;2017;S17_2DAR2;ChitedzeDAR;1;34;S107967;No;1730.03;12/18/2017;05/09/2018;-13.983333;33.633333;1097;142
143;2017;S17_2DAR2;ChitedzeDAR;1;35;MAKSOY2N;No;1890.47;12/18/2017;05/09/2018;-13.983333;33.633333;1097;143
144;2017;S17_2DAR2;ChitedzeDAR;1;36;TGx20011DM;No;1830.72;12/18/2017;05/09/2018;-13.983333;33.633333;1097;144
145;2017;S17_2DAR2;ChitedzeDAR;2;37;TGx200124DM;No;3031.03;12/18/2017;05/09/2018;-13.983333;33.633333;1097;145
146;2017;S17_2DAR2;ChitedzeDAR;2;38;Makwacha;Yes;2234.95;12/18/2017;05/09/2018;-13.983333;33.633333;1097;146
147;2017;S17_2DAR2;ChitedzeDAR;2;39;S1141538;No;2847.84;12/18/2017;05/09/2018;-13.983333;33.633333;1097;147
148;2017;S17_2DAR2;ChitedzeDAR;2;40;MAKSOY3N;No;1764.31;12/18/2017;05/09/2018;-13.983333;33.633333;1097;148
150;2017;S17_2DAR2;ChitedzeDAR;2;42;TGx20011DM;No;2477.49;12/18/2017;05/09/2018;-13.983333;33.633333;1097;150
151;2017;S17_2DAR2;ChitedzeDAR;2;43;MAKSOY5N;No;1775.55;12/18/2017;05/09/2018;-13.983333;33.633333;1097;151
