year;env;location;rep;plot;gen;check;yield;plant;harvest;lat;lon;elev;row_id
2017;S17_2_MW_DAR1;ChitalaDAR;1;1;Songda;No;1395.27;12/19/2017;5/29/2018;-13.666667;34.25;606;1
2017;S17_2_MW_DAR1;ChitalaDAR;1;2;TGx198818F;No;1158.77;12/19/2017;5/29/2018;-13.666667;34.25;606;2
2017;S17_2_MW_DAR1;ChitalaDAR;1;3;SalintuyaI;No;1228.41;12/19/2017;5/29/2018;-13.666667;34.25;606;3
2017;S17_2_MW_DAR1;ChitalaDAR;1;4;TIKOLORE;Yes;1220.37;12/19/2017;5/29/2018;-13.666667;34.25;606;4
2017;S17_2_MW_DAR1;ChitalaDAR;1;5;Makwacha;Yes;1189.05;12/19/2017;5/29/2018;-13.666667;34.25;606;5
2017;S17_2_MW_DAR1;ChitalaDAR;1;6;NASOKO;Yes;1115.99;12/19/2017;5/29/2018;-13.666667;34.25;606;6
2017;S17_2_MW_DAR1;ChitalaDAR;1;7;TGx198960F;No;1324.31;12/19/2017;5/29/2018;-13.666667;34.25;606;7
2017;S17_2_MW_DAR1;ChitalaDAR;1;8;Kaleya;No;774.41;12/19/2017;5/29/2018;-13.666667;34.25;606;8
2017;S17_2_MW_DAR1;ChitalaDAR;1;9;TGx20011DM;No;756.68;12/19/2017;5/29/2018;-13.666667;34.25;606;9
2017;S17_2_MW_DAR1;ChitalaDAR;1;10;MAKSOY3N;No;1353.38;12/19/2017;5/29/2018;-13.666667;34.25;606;10
2017;S17_2_MW_DAR1;ChitalaDAR;1;11;MAKSOY4N;No;987.65;12/19/2017;5/29/2018;-13.666667;34.25;606;11
2017;S17_2_MW_DAR1;ChitalaDAR;1;12;S11395120;No;1461.32;12/19/2017;5/29/2018;-13.666667;34.25;606;12
2017;S17_2_MW_DAR1;ChitalaDAR;1;13;TGx200113DM;No;1272.65;12/19/2017;5/29/2018;-13.666667;34.25;606;13
2017;S17_2_MW_DAR1;ChitalaDAR;1;14;MRIDINA;No;1354.8;12/19/2017;5/29/2018;-13.666667;34.25;606;14
2017;S17_2_MW_DAR1;ChitalaDAR;1;15;SCSERENADE;No;1025.1;12/19/2017;5/29/2018;-13.666667;34.25;606;15
2017;S17_2_MW_DAR1;ChitalaDAR;1;16;TGx200124DM;No;961.67;12/19/2017;5/29/2018;-13.666667;34.25;606;16
2017;S17_2_MW_DAR1;ChitalaDAR;1;17;TGx198762F;No;859.53;12/19/2017;5/29/2018;-13.666667;34.25;606;17
2017;S17_2_MW_DAR1;ChitalaDAR;1;18;TGx199122F;No;1497.61;12/19/2017;5/29/2018;-13.666667;34.25;606;18
2017;S17_2_MW_DAR1;ChitalaDAR;1;19;Afayak;No;785.69;12/19/2017;5/29/2018;-13.666667;34.25;606;19
2017;S17_2_MW_DAR1;ChitalaDAR;1;20;S1075693;No;1899.84;12/19/2017;5/29/2018;-13.666667;34.25;606;20
2017;S17_2_MW_DAR1;ChitalaDAR;1;21;TGx200110DM;No;2088.33;12/19/2017;5/29/2018;-13.666667;34.25;606;21
2017;S17_2_MW_DAR1;ChitalaDAR;1;22;S107967;No;1369.7;12/19/2017;5/29/2018;-13.666667;34.25;606;22
2017;S17_2_MW_DAR1;ChitalaDAR;1;23;TGx200214DM;No;1232.31;12/19/2017;5/29/2018;-13.666667;34.25;606;23
2017;S17_2_MW_DAR1;ChitalaDAR;1;24;Jenguma;No;434.26;12/19/2017;5/29/2018;-13.666667;34.25;606;24
2017;S17_2_MW_DAR1;ChitalaDAR;1;25;TGx20013FM;No;995.07;12/19/2017;5/29/2018;-13.666667;34.25;606;25
2017;S17_2_MW_DAR1;ChitalaDAR;1;26;Quarshie;No;1298.75;12/19/2017;5/29/2018;-13.666667;34.25;606;26
2017;S17_2_MW_DAR1;ChitalaDAR;1;27;TGx20145GM;No;931.72;12/19/2017;5/29/2018;-13.666667;34.25;606;27
2017;S17_2_MW_DAR1;ChitalaDAR;1;28;TGx200223DM;No;1312.64;12/19/2017;5/29/2018;-13.666667;34.25;606;28
2017;S17_2_MW_DAR1;ChitalaDAR;1;30;SuongPungun;No;33.46;12/19/2017;5/29/2018;-13.666667;34.25;606;30
2017;S17_2_MW_DAR1;ChitalaDAR;1;31;TGx201419FM;No;;12/19/2017;5/29/2018;-13.666667;34.25;606;31
2017;S17_2_MW_DAR1;ChitalaDAR;1;32;MAKSOY2N;No;871.26;12/19/2017;5/29/2018;-13.666667;34.25;606;32
2017;S17_2_MW_DAR1;ChitalaDAR;1;33;Lukanga;No;1778.78;12/19/2017;5/29/2018;-13.666667;34.25;606;33
2017;S17_2_MW_DAR1;ChitalaDAR;1;34;TGx20018DM;No;880.64;12/19/2017;5/29/2018;-13.666667;34.25;606;34
2017;S17_2_MW_DAR1;ChitalaDAR;1;35;MAKSOY5N;No;1126.63;12/19/2017;5/29/2018;-13.666667;34.25;606;35
2017;S17_2_MW_DAR1;ChitalaDAR;1;36;S1141538;No;519.21;12/19/2017;5/29/2018;-13.666667;34.25;606;36
2017;S17_2_MW_DAR1;ChitalaDAR;2;37;TGx200113DM;No;1168.07;12/19/2017;5/29/2018;-13.666667;34.25;606;37
2017;S17_2_MW_DAR1;ChitalaDAR;2;38;TIKOLORE;Yes;1504.49;12/19/2017;5/29/2018;-13.666667;34.25;606;38
2017;S17_2_MW_DAR1;ChitalaDAR;2;39;TGx199122F;No;1640.06;12/19/2017;5/29/2018;-13.666667;34.25;606;39
2017;S17_2_MW_DAR1;ChitalaDAR;2;40;Lukanga;No;1215.05;12/19/2017;5/29/2018;-13.666667;34.25;606;40
2017;S17_2_MW_DAR1;ChitalaDAR;2;41;TGx198818F;No;1754.17;12/19/2017;5/29/2018;-13.666667;34.25;606;41
2017;S17_2_MW_DAR1;ChitalaDAR;2;42;MRIDINA;No;986.46;12/19/2017;5/29/2018;-13.666667;34.25;606;42
2017;S17_2_MW_DAR1;ChitalaDAR;2;43;S1075693;No;1158.21;12/19/2017;5/29/2018;-13.666667;34.25;606;43
2017;S17_2_MW_DAR1;ChitalaDAR;2;44;TGx198960F;No;1358.73;12/19/2017;5/29/2018;-13.666667;34.25;606;44
2017;S17_2_MW_DAR1;ChitalaDAR;2;45;MAKSOY2N;No;1200.2;12/19/2017;5/29/2018;-13.666667;34.25;606;45
2017;S17_2_MW_DAR1;ChitalaDAR;2;46;Jenguma;No;641.38;12/19/2017;5/29/2018;-13.666667;34.25;606;46
2017;S17_2_MW_DAR1;ChitalaDAR;2;47;S11395120;No;1247.58;12/19/2017;5/29/2018;-13.666667;34.25;606;47
2017;S17_2_MW_DAR1;ChitalaDAR;2;48;MAKSOY1N;No;1195.74;12/19/2017;5/29/2018;-13.666667;34.25;606;48
2017;S17_2_MW_DAR1;ChitalaDAR;2;49;Afayak;No;1231.62;12/19/2017;5/29/2018;-13.666667;34.25;606;49
2017;S17_2_MW_DAR1;ChitalaDAR;2;50;TGx20145GM;No;854.79;12/19/2017;5/29/2018;-13.666667;34.25;606;50
2017;S17_2_MW_DAR1;ChitalaDAR;2;51;TGx20011DM;No;1315.97;12/19/2017;5/29/2018;-13.666667;34.25;606;51
2017;S17_2_MW_DAR1;ChitalaDAR;2;52;TGx20018DM;No;849.17;12/19/2017;5/29/2018;-13.666667;34.25;606;52
2017;S17_2_MW_DAR1;ChitalaDAR;2;53;SuongPungun;No;712.87;12/19/2017;5/29/2018;-13.666667;34.25;606;53
2017;S17_2_MW_DAR1;ChitalaDAR;2;54;NASOKO;Yes;894.19;12/19/2017;5/29/2018;-13.666667;34.25;606;54
