country;year;season;env;location;rep;plot;gen;check;yield;prot;oil;plant;harvest;lat;lon;elev
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;1;S1141538;No;2031.27;37.8;23.83;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;2;MAKSOY5N;No;1862.98;41.42;21.48;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;3;NASOKO;Yes;798.83;37.1;22.94;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;4;TGx200124DM;No;2259.36;39.31;22.35;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;5;SCSERENADE;No;191.15;40.61;19.81;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;6;TGx199122F;No;1036.7;39.69;20.81;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;7;TGx200113DM;No;265.6;41.61;21.07;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;8;MRIDINA;No;53.9;33.74;23.85;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;9;Quarshie;No;2100.01;42.39;19.39;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;10;MAKSOY1N;No;430.83;37.02;21.31;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;11;TGx198960F;No;1056.79;42.1;22.36;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;12;Kaleya;No;705.64;40.32;21.99;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;13;S107967;No;219.48;36.6;23.32;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;14;MAKSOY3N;No;916.14;44.1;20.62;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;15;SalintuyaI;No;2024.88;42.95;18.65;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;16;TGx20011DM;No;1698.29;39.93;21.57;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;17;SuongPungun;No;NA;NA;NA;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;18;TGx198818F;No;1707.57;37.97;20.77;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;19;S11395120;No;370.74;34.62;22.52;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;20;MAKSOY4N;No;1165.73;39.21;22.56;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;21;Afayak;No;126.39;41.19;20.07;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;22;Songda;No;1412.26;45.55;18.39;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;23;TGx200214DM;No;473.94;39.75;24.14;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;24;TGx198762F;No;654.71;40.18;21.86;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;25;Makwacha;Yes;747.97;38.87;22.03;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;26;S1075693;No;886.47;37.23;24.06;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;27;Lukanga;No;118.96;36.22;23.79;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;28;TGx20145GM;No;472.7;35.85;24.86;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;29;TIKOLORE;Yes;1480.74;38.32;20.63;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;30;TGx20018DM;No;898.67;37.24;23.68;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;31;TGx200110DM;No;1102.92;42.38;19.27;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;32;Jenguma;No;61.34;39.8;20.72;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;33;TGx200223DM;No;1225.73;41.73;22.99;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;34;TGx20013FM;No;968.88;37.22;22.38;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;35;MAKSOY2N;No;238.32;38.6;24.85;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;1;36;TGx201419FM;No;756.85;43.02;21;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;37;TGx200110DM;No;312.71;46.08;19.47;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;38;TGx198818F;No;NA;NA;NA;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;39;S1075693;No;1098.43;36.76;24.54;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;40;Jenguma;No;NA;NA;NA;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;41;MAKSOY3N;No;363.53;38.18;24.05;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;42;MRIDINA;No;1506.91;45.3;18.79;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;43;Songda;No;248.28;40.06;20.06;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;44;MAKSOY1N;No;437.27;34.11;24.98;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;45;SCSERENADE;No;601.58;36.59;22.99;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;46;TGx200214DM;No;164.79;38.7;23.37;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;47;MAKSOY4N;No;862.27;37.05;23.52;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;48;Kaleya;No;91.08;31.8;26.37;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;49;Lukanga;No;587.97;37.47;22.8;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;50;TGx20145GM;No;NA;NA;NA;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;51;MAKSOY5N;No;NA;NA;NA;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;52;TGx200124DM;No;2314.52;41.01;22.73;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;53;TGx198960F;No;NA;NA;NA;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;54;TIKOLORE;Yes;1103.59;40.52;20.99;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;55;TGx20011DM;No;758.31;36.95;22.27;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;56;S11395120;No;2179.39;40.71;20.68;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;57;TGx199122F;No;NA;NA;NA;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;58;Quarshie;No;NA;NA;NA;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;59;TGx201419FM;No;1554.59;40.37;21.22;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;60;NASOKO;Yes;1494.85;42.49;20.81;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;61;TGx20013FM;No;NA;NA;NA;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;62;S107967;No;364.15;36.45;23.72;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;63;Makwacha;Yes;1195.79;40.17;21.72;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;64;TGx200223DM;No;608.5;32.71;25.88;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;65;SalintuyaI;No;1830.36;41.84;19.15;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;66;S1141538;No;1778;39.35;23.86;2018-01-02;2018-01-06;-9.926433;33.909217;469
Malawi;2017;2;S17_2_MW_DAR6;BakaDAR;2;67;Afayak;No;708.37;42.5;20.64;2018-01-02;2018-01-06;-9.926433;33.909217;469
